id,currency,perpetual,callable,npv,rho,rho-to-call,rho-to-maturity
07e1fdb3-0836-4476-b3bb-2aa29919878f,EUR,true,true,0.453983,-0.510464,-0.510464,9.418662
762aabf9-5174-41f2-a757-c7ed3a51678a,EUR,true,true,0.515355,-0.171343,-0.171343,10.842744
63c772cb-6fd2-45a3-85c8-cd8b67bbcade,EUR,true,true,0.481925,-0.202741,-0.202741,8.834035
e34be82a-e137-45a4-89bc-b941e976bcc5,EUR,true,true,0.472192,-1.521803,-1.521803,8.461949
8759d8e4-f3b4-4f8a-86ac-6030607e9024,GBP,true,true,0.553567,-2.122231,-2.122231,7.006848
9de5a56d-edb8-4ebd-9c87-4824a1bd393c,USD,true,true,0.595330,-0.186010,-0.186010,5.757197
943b8e20-4563-4c95-9f8e-0801a94b8cfd,USD,true,true,0.713888,-0.080189,-0.080189,5.006313
ddaf246b-af45-4914-8973-e8428d35e113,USD,true,true,0.446642,-0.100959,-0.100959,3.600337
ad1b419a-43c9-41e1-99c3-52eb81eb2c0f,SGD,true,true,0.273336,-0.829419,-0.829419,0.648548
66ba64b5-1d4a-42a4-b558-3dc31ef007cd,USD,true,true,0.963460,-0.067588,-0.067588,2.308034
e287c70a-3b01-4053-8122-097b2f50948b,USD,true,true,0.929995,-0.112002,-0.112002,2.494161
34c8fd64-3b01-4118-abd8-b1e98f46f97e,USD,true,false,0.653398,3.140696,,3.140696
55fb47c3-f9f6-400c-a525-cda46f6d319a,USD,true,true,0.905084,-0.315777,-0.315777,2.284439
a2ccb24a-12e0-4ad2-9ebe-263212d28fe7,EUR,true,true,0.865324,-0.150942,-0.150942,2.056589
bfbedfd1-b4f8-4d63-9c1c-c7956edcd682,USD,true,true,1.005952,-0.080272,-0.080272,-0.243593
5a7044b8-f558-45dc-ba41-afc05d304eea,CHF,true,true,0.815049,-2.936922,-2.936922,1.267802
c1af1c90-560a-44b3-8969-1eae9c3f2888,EUR,true,true,0.938907,-0.087833,-0.087833,1.278664
61262116-bc95-4b38-80bd-d877a6bfedf4,USD,true,true,0.909816,-0.484944,-0.484944,1.069578
6edae7da-98a9-40c8-84f0-4d6800159eae,EUR,true,true,0.982054,-0.111284,-0.111284,1.189891
fde36ebb-55a3-4106-918c-db8da6588822,EUR,true,true,0.693147,-4.066267,-4.066267,1.723404
4cf8d2cf-ecc7-444c-8588-0b8da39e6990,USD,true,true,0.969225,-0.080161,-0.080161,1.684188
e9f88524-200a-431d-ad04-aa23872ac3ac,EUR,true,true,0.547434,-0.572820,-0.572820,1.150238
3cbb73a1-ba37-46a6-9a57-3b8258eba533,USD,true,true,0.894603,-0.433778,-0.433778,1.364908
702874e9-9994-41ac-b3bf-223f8ef7d815,EUR,true,true,0.864447,-1.854361,-1.854361,0.719174
eecc8206-3acf-441d-a7a9-5206edbe7eca,EUR,true,true,0.786181,-2.010400,-2.010400,1.053810
f3e5fc52-65de-4637-baee-9cea0095f1ca,USD,true,true,0.554461,-1.755684,-1.755684,1.178061
0cafe1d3-08df-4e66-8bf5-5c186387dd99,USD,true,true,0.936977,-0.719131,-0.719131,1.305087
2b1bf1ac-4f90-4f73-b6d5-cff67323d8a4,USD,true,true,0.813774,-2.183959,-2.183959,0.805840
5e34e30c-33d4-4802-b907-e8687642c9d9,EUR,true,true,0.971814,-0.166393,-0.166393,0.626323
8456da7e-9e74-4081-9d17-86d5ea470c78,EUR,true,true,0.897935,-0.513738,-0.513738,0.990489
343b6090-8b49-44ed-9d0d-80f883b04f32,USD,true,true,0.987255,-0.880914,-0.880914,0.596462
58eb7a6e-5871-4244-8151-92372d8cd92a,EUR,true,true,0.863014,-0.956170,-0.956170,1.022354
5e1a2d4b-60b6-4267-bfd5-44fc9f3fce94,USD,true,true,0.994097,-0.743318,-0.743318,0.095669
08132dce-fdea-496f-b4f9-b8e8a4361698,SGD,true,true,0.880780,-0.038482,-0.038482,0.761679
69dc9743-a419-4508-a581-106406cc6f57,USD,true,true,0.405090,-1.575425,-1.575425,0.593316
042d753a-fc41-4d2a-aecd-bd94485dc1e2,USD,true,true,0.808751,-2.146331,-2.146331,0.625063
46f32a8d-e56b-470b-a408-c268f0a397de,EUR,true,true,0.867848,-1.127547,-1.127547,0.908797
96f42388-515a-4967-aaaf-15a824afdaae,USD,true,true,0.969690,-0.178742,-0.178742,0.259944
7585857c-7b09-490a-a214-c31cb60d5203,USD,true,true,0.607230,-0.751687,-0.751687,1.434351
b069e747-dfe2-4e5a-84a1-e0cf2df9507b,EUR,true,true,0.985723,-0.801554,-0.801554,-0.000395
d8f10974-a9e5-4f0c-9d4e-30f5f8f314b5,USD,true,true,0.522945,-0.577041,-0.577041,1.302705
8a601d31-8197-40fd-b387-d0edf603a447,USD,true,true,0.933204,-0.968383,-0.968383,-0.686047
b750db85-813a-40ba-b155-23f9b7c12647,EUR,true,true,1.007437,-0.805304,-0.805304,0.259410
4d8d9f55-e347-4549-8781-e6bf2b3d2cdf,SEK,true,true,0.279031,-0.019884,-0.019884,0.041596
a006ac3f-b7e7-4187-b9c3-cbb0b60fc640,USD,true,true,0.863382,-2.418972,-2.418972,-0.010023
d000100a-2002-487c-9403-555ad9baa4a6,USD,true,true,1.003455,-0.745992,-0.745992,-0.745992
1daa7a59-0239-4d8b-a1cc-b3e1b65b99d8,EUR,true,true,0.999861,-0.148281,-0.148281,0.142992
7ceb3e91-a189-4322-9ada-986b072685ac,USD,true,true,0.936653,-1.948879,-1.948879,-0.221845
adc0afb5-47b0-45f8-816f-e465ca82ec25,EUR,true,true,0.957260,-0.976533,-0.976533,-0.197852
18c00dad-ff81-46be-8c88-c38ff89d408e,INR,true,true,0.979536,-0.003666,-0.003666,-0.003666
4c0b8f5b-f23b-4a0f-b5da-e71d83f1a805,USD,true,true,1.017527,-0.443755,-0.443755,-0.443755
49a99267-1662-4b14-8dad-05b58d7df8dd,CNY,true,true,1.051396,-0.016795,-0.016795,-0.016795
43bdcfdf-1ec2-432f-acad-bb930bae7bab,USD,true,true,0.895242,-2.427748,-2.427748,-0.339308
0d5d4103-8345-4b7b-9021-64d980a2d3dd,CNY,true,true,1.039758,-0.032756,-0.032756,-0.032756
2691cd39-2ed8-499c-82f0-4104016db848,CNY,true,true,1.027947,-0.040467,-0.040467,-0.040467
816e00b2-e69e-455a-9135-f00e70a69186,CNY,true,true,1.045613,-0.044986,-0.044986,-0.044986
8b1d4ca8-aad5-4017-9ce8-8163f3fc078e,CNY,true,true,1.062813,-0.047018,-0.047018,-0.047018
c572994e-dd18-441e-bd16-932b12dff677,CNY,true,true,1.025622,-0.046587,-0.046587,-0.046587
f4e0a147-f158-4ccd-a31e-b60522e0f387,USD,true,true,1.009132,-0.229858,-0.229858,-0.229858
695fc691-6855-4c4c-97bc-274f302f1390,EUR,true,true,0.854350,-2.640121,-2.640121,-0.531998
e883713a-e3f0-4f11-ba5f-0d4112399580,USD,true,true,1.010407,-0.080663,-0.080663,-0.244334
c3d6f8a3-0626-4972-a77c-65c00432e915,USD,true,true,1.006082,-0.081528,-0.081528,-0.244749
d0cdeb4a-3413-4085-92fe-fef018a14e0f,USD,true,true,1.049980,-0.086171,-0.086171,-0.486342
87f13dae-40aa-4978-86f5-3d98cc763b92,CNY,true,true,1.020134,-0.079546,-0.079546,-0.079546
196b29c8-61a5-40ac-98c2-7370cd3cd59d,USD,true,true,1.028818,-0.022412,-0.022412,-0.022412
58bf6400-2194-48f7-8075-548267d106e1,USD,true,true,1.037603,-0.022557,-0.022557,-0.022557
65b0ba26-604c-4725-9e92-0c0e6b40591c,CNY,true,true,1.024202,-0.087230,-0.087230,-0.087230
5a1398b2-6786-41b8-a790-75d9c6189729,USD,true,true,1.056312,-0.036977,-0.036977,-0.036977
9e086612-d314-4b68-a41c-16020f2d158f,CNY,true,true,1.032907,-0.117407,-0.117407,-0.117407
bf495230-755d-4477-97ab-cab95a30a280,USD,true,true,0.910084,-2.356005,-2.356005,-0.277459
fba47f75-b459-41f4-ba3b-de95255b816c,USD,true,true,0.992772,-0.082651,-0.082651,-0.047132
5295e78a-0735-45da-9940-5f478efb52f9,CNY,true,true,1.048234,-0.122718,-0.122718,-0.122718
944fa1bf-821c-4a11-b7e9-45bf53ed6621,USD,true,true,1.063697,-0.083644,-0.083644,-0.083644
52ca6a56-6297-43d4-8350-550e75148eba,USD,true,true,1.038637,-0.073910,-0.073910,-0.073910
49914036-0c3f-4995-8415-cd983bfa0196,USD,true,true,0.841001,-2.473686,-2.473686,0.121529
1ea1c631-3605-4c6f-938f-a0c813461964,EUR,true,true,1.073841,-0.067094,-0.067094,-0.067094
2fe370f0-c41c-4b8e-b63b-0cab7368e879,SGD,true,true,1.035074,-0.087965,-0.087965,-0.087965
8f7876f2-6fa2-40d5-9a1d-94ce05dc1313,USD,true,true,1.035729,-0.086693,-0.086693,-0.086693
5740ff6d-0d10-447a-8b9c-d7ac026d3aab,INR,true,true,1.038783,-0.036746,-0.036746,-0.151857
bc70b104-327a-4d74-a5c6-9f8c11f62f66,EUR,true,true,1.030985,-0.113931,-0.113931,0.238264
eefde568-bbcb-43a8-806a-01ed40fc1af9,EUR,true,true,1.011115,-0.115161,-0.115161,0.002434
07ece0d6-2ed8-400a-a79d-1138bd3e8653,SGD,true,true,0.962559,-0.109698,-0.109698,1.105551
09a02f23-b77a-4207-bfe3-0bb3901f6f6c,INR,true,true,1.014266,-0.029472,-0.029472,-0.165815
b7dca1c6-009b-4d10-9db9-8a6ed16373b0,USD,true,true,1.012994,-0.104113,-0.104113,-0.104113
76cf8519-9e42-43ce-a3f6-4d5e2852201a,USD,true,true,1.023831,-0.105934,-0.105934,-1.314343
7f7f4787-672c-4d30-9418-e70c142235a4,USD,true,true,1.034999,-0.115000,-0.115000,-0.115000
8a621321-ee93-4cfe-8ffe-cb52e5e03fde,EUR,true,true,1.037881,-0.108493,-0.108493,-0.108493
3a6d06f1-f029-48bf-9e1d-f9f509ad7e99,EUR,true,true,1.033826,-0.109335,-0.109335,-0.109335
1585db20-8f8e-4371-9c74-30d97d3e4f91,USD,true,true,1.014954,-0.118411,-0.118411,-0.118411
23834af1-61fe-40c7-9fcc-3bd5efbea8bf,SGD,true,true,1.016285,-0.143947,-0.143947,-0.143947
9145c1a5-8c0c-4169-9a5d-d09504170e97,USD,true,true,1.008540,-0.137274,-0.137274,-0.137274
810bd2d1-46ee-4680-a8b1-e27ce2981122,USD,true,true,1.011977,-0.137741,-0.137741,-0.137741
d6ad18f4-b8bd-4817-89e1-57a658159e27,CNY,true,true,1.021197,-0.205732,-0.205732,-0.205732
7c961869-8aac-4376-b1a6-1a1cc402890b,USD,true,true,1.011524,-0.148919,-0.148919,-0.148919
4ce18ebb-2c76-4549-a5c2-3acda277e0b7,USD,true,true,1.010302,-0.151625,-0.151625,-0.160463
5a3b2209-3382-47fd-8352-a263296a515d,EUR,true,true,1.011866,-0.157150,-0.157150,-0.157150
0571a40b-51ce-40df-a0b4-ee405486bd5a,EUR,true,true,0.911657,-2.966435,-2.966435,-3.105081
e8e763ea-2fc4-476d-9422-305b9bc38bd5,USD,true,true,1.011611,-0.171527,-0.171527,-0.372756
c4a26a11-f58e-4896-9218-abd3e4ca1788,USD,true,true,0.990653,-0.080184,-0.080184,-0.162357
7015dbc7-f0e0-4d70-b81a-50589bb9fba4,USD,true,true,1.004542,-0.178585,-0.178585,-0.178585
a55f4615-f0f1-483e-8480-909884aa1434,GBP,true,true,0.802421,-1.831548,-1.831548,0.637830
2c28629f-8005-4210-a279-14639c3755fb,EUR,true,true,0.480630,-2.773602,-2.773602,-0.233549
a4da4076-3f16-4599-83fc-9947aed990a0,USD,true,true,0.984591,-0.191448,-0.191448,-0.191448
a7ae0a1c-e080-40be-846a-481115d26127,USD,true,true,1.077355,-0.218464,-0.218464,-0.218464
289de496-fadc-454d-96cc-ac8894387d3c,USD,true,true,1.011812,-0.210794,-0.210794,-0.210794
1365cf8d-5102-4f58-b37a-bbe010c53c19,USD,true,true,0.917488,-2.858365,-2.858365,-0.423577
96988f15-1a56-4c9a-b4b5-09e6fabe43dd,USD,true,true,1.006331,-0.229220,-0.229220,-0.229220
e7581dcb-6493-402e-ad87-3035cbd744be,USD,true,true,1.026950,-0.236769,-0.236769,-0.236769
283700ca-d135-4bee-87c8-a079c649fe29,USD,true,true,1.002456,-0.231122,-0.231122,-0.231122
cde53ec0-9d7a-4cc4-a8a7-458229a97ed2,USD,true,true,1.012202,-0.233369,-0.233369,-0.233369
d242c286-cf07-4f42-9a08-9aeb24fc4bda,USD,true,true,1.002509,-0.242273,-0.242273,-0.242273
5df876a1-8bcc-4755-b0f5-da9448d66230,SGD,true,true,1.011005,-0.263895,-0.263895,-0.263895
417530c7-0b53-4830-a8d6-cdc5f8cdd97d,CNY,true,false,1.056052,-0.333850,,-0.333850
35523f25-7850-4675-9393-d65c529e0a84,CNY,true,true,1.063634,-0.336736,-0.336736,-0.336736
988cd1bb-ed47-4002-ab22-457274be9667,EUR,true,true,1.000384,-0.087175,-0.087175,-0.245001
037c10ca-f1e4-4100-9655-09e57d8fcadf,SGD,true,true,0.783534,-1.417043,-1.417043,-0.364580
4547147f-71e8-460b-a6e2-6c96a88c02f0,USD,true,true,1.007581,-0.118768,-0.118768,-0.281244
a839ccd6-5b03-4e76-8c99-824ffb67d331,SGD,true,true,1.003103,-0.300397,-0.300397,-0.300397
b0b5ec01-a209-43f6-8620-3bc22b5cceb0,USD,true,true,1.031693,-0.098118,-0.098118,-0.278117
7c16832d-2ae7-4e9b-910f-5c7d0584b742,EUR,true,true,1.003486,-0.910437,-0.910437,-0.910437
2913327f-8d85-49ff-88b7-89f9025c8054,SGD,true,true,0.999852,-0.327747,-0.327747,-0.327747
d3b9fd69-778b-4d3a-af6e-2a1bf5fcc14f,USD,true,true,0.997490,-0.318643,-0.318643,-0.318643
d3700802-9cbf-43e7-8193-4fda878374dc,USD,true,true,1.010503,-0.334027,-0.334027,-0.334027
f163c0ca-d7ee-4b90-b659-428ed6f88d74,USD,true,true,1.001235,-0.342089,-0.342089,-0.342089
1a62f1a7-7629-4611-b0c0-d1d019efb71b,USD,true,true,1.004154,-0.345875,-0.345875,-0.345875
78b06c8e-f154-483b-bdf3-e788dbe155a9,USD,true,true,1.002065,-0.347939,-0.347939,-0.347939
b796e2c5-6ef3-457d-8e48-c4e83d7b724d,USD,true,true,1.019637,-0.328550,-0.328550,-0.328550
ed09001f-0451-4516-a0a2-d9c833ea6c35,USD,true,true,1.004011,-0.356982,-0.356982,-0.356982
855de6b4-a2c3-4278-a9f4-760c6981cc1d,USD,true,true,1.005306,-0.360235,-0.360235,-0.360235
a3dedf16-e60f-463f-bf7a-15034a6b596a,USD,true,true,1.003003,-0.359410,-0.359410,-0.359410
d8680933-0d28-48e5-b3e5-b26bb43528ea,USD,true,true,0.970153,-1.879007,-1.879007,-1.221987
d0728257-b0d1-4556-8042-a1077584c9ad,CNY,true,true,1.044191,-0.455547,-0.455547,-0.455547
310e226c-ae9f-4a04-b7c4-0de9f07ee757,USD,true,true,1.007349,-0.377756,-0.377756,-0.377756
054b63ef-0ff1-4383-8ee0-6fff8fc68a33,USD,true,true,1.003930,-0.376474,-0.376474,-0.376474
fd9f3ac3-1c00-4733-b4fc-29590952d755,USD,true,true,0.989834,-0.296707,-0.296707,-0.408162
e5959953-2cff-4be7-861e-d277cd4b1b1c,USD,true,true,0.994861,-0.395181,-0.395181,-0.395181
c11adbef-07ee-492a-88a3-e851e5651c35,USD,true,true,1.008573,-0.400628,-0.400628,-0.400628
33b79166-272a-4c7a-b33c-91e15aa38091,EUR,true,true,1.016792,-0.394786,-0.394786,-0.394786
9ea951b2-15c8-4f35-b63f-362081cb9150,USD,true,true,1.097941,-0.432863,-0.432863,-0.432863
ea64cccf-9fe2-4210-9363-39423bd311f6,USD,true,true,1.005500,-0.404993,-0.404993,-0.404993
f7869b56-3090-440b-a25c-57ec25d14dbe,USD,true,true,0.991547,-0.415569,-0.415569,-0.415569
34df7a68-0eaa-4784-bbf2-0c95ee0aef82,CHF,true,true,1.013100,-0.424511,-0.424511,-0.424511
b9c780d5-673d-4663-a61c-166e9a37a4ef,USD,true,true,1.012711,-0.450094,-0.450094,-0.450094
55c48966-0eaa-4c67-a87c-1c67c92f088e,USD,true,true,0.993337,-0.460798,-0.460798,-0.460798
d5410fa8-37de-45dc-959e-584902f4ad95,USD,true,true,0.997067,-0.470837,-0.470837,-0.470837
68a6e9fc-8af1-45a0-970a-ea7a57a702e7,USD,true,true,0.942597,-2.092265,-2.092265,-1.318157
78104bb3-1029-4617-bc24-f0ad7b1d6e5f,USD,true,true,1.000048,-0.328306,-0.328306,-0.486593
9670bd2d-f3ae-432c-afe5-e0ba3245f678,USD,true,true,1.027521,-0.516525,-0.516525,-0.516525
e77bcb4f-99fd-4d86-9e57-221024d7bac8,USD,true,true,0.973377,-2.249157,-2.249157,-0.935747
ac82475e-71ab-48ec-8bde-e6d86aba331d,EUR,true,true,1.019041,-0.547836,-0.547836,-0.547836
976bfeec-0d4c-4474-b856-0fa7a1bbf3bf,USD,true,true,0.996250,-0.388826,-0.388826,-0.388826
47f26cb7-ba3e-47ce-8bd9-659333cd0176,USD,true,true,1.010035,-0.560159,-0.560159,-0.560159
4786be49-0405-49e1-ae5a-7847440b7da3,USD,true,true,1.006952,-0.563445,-0.563445,-0.563445
eaf3f5ac-d93c-41c7-9c37-36595efaa0af,USD,true,true,1.010389,-0.368366,-0.368366,-0.583930
0daf7155-64cf-4bfc-a682-e8f9cfeee417,USD,true,true,0.997565,-0.575368,-0.575368,-0.575368
d28c1b50-8235-4265-a454-2a4fb45276e3,EUR,true,true,1.015937,-0.578998,-0.578998,-0.578998
5faa569d-fdcc-4f2e-817a-3c9333d7497c,USD,true,true,1.011061,-0.597893,-0.597893,-0.597893
e97aa7b1-4ac5-4b82-a3ab-13cd964eaa42,USD,true,true,0.981103,-1.768717,-1.768717,-1.768717
4144d56f-e314-4bd5-8262-44660bf2d19e,USD,true,true,0.949218,-0.772215,-0.772215,-0.610985
2afd0d1e-ca99-4bd7-8ffc-7f04e9a3b6c7,EUR,true,true,0.946851,-1.184806,-1.184806,-0.423704
1bd39328-90ad-47b0-9fee-63b8e647a7a1,EUR,true,true,0.973883,-0.586930,-0.586930,-0.758372
f37cb004-8320-43a1-9edb-abe4a4ce2eb2,USD,true,true,0.993164,-0.459710,-0.459710,-0.615472
1eb21711-8251-404a-a5f3-b663b4daf4b6,USD,true,true,0.887655,-2.327611,-2.327611,-0.399999
37adf219-945c-43b0-8883-c61211e56166,USD,true,true,0.994842,-0.232958,-0.232958,-0.627674
93d629e4-52d4-420e-8ca6-1dae3a16eab5,USD,true,true,0.952048,-1.676880,-1.676880,-0.445139
3be766b9-8812-430a-82c6-eb9818bdde1a,EUR,true,true,1.010417,-0.660893,-0.660893,-0.660893
b2b0073c-c4d7-4dbd-a3d1-43a0d1b9c899,USD,true,true,0.377708,-2.152511,-2.152511,-0.016821
86036b1f-058f-40b4-b5d6-edc032fb9e37,EUR,true,true,0.976277,-0.399358,-0.399358,-0.653907
ab095a10-9a0a-4b04-97d6-a853f8059623,EUR,true,true,0.783991,-2.481609,-2.481609,-0.948392
c4d374ec-3ebf-4593-bb02-a5e837cff49b,USD,true,true,0.885461,-1.787336,-1.787336,-0.039926
183f2919-b9aa-4ba3-a712-a5eb1f9eb5c0,EUR,true,true,0.978145,-0.750763,-0.750763,-0.709016
78408115-16fc-41a3-bb4b-be8fc80d94fa,USD,true,true,0.995603,-0.695607,-0.695607,-0.695607
3a2378b8-a060-4337-9120-55a6fd404c48,USD,true,true,1.006810,-0.724175,-0.724175,-0.724175
9e2e09b2-bef3-48a2-9163-9ad1d159d35a,EUR,true,true,1.004044,-0.734693,-0.734693,-0.734693
16c22f67-9277-4a17-8d2e-585d6f52c796,EUR,true,true,0.980380,-1.047848,-1.047848,-0.664405
6fc081b9-55bf-4b69-9aae-c0159001ce36,USD,true,true,0.985031,-0.346292,-0.346292,-0.740000
d3a42023-15c2-4ee8-9e65-47cb9244d947,USD,true,true,0.961427,-2.319435,-2.319435,-1.596618
a7902279-f1d8-411d-b006-bce997d06a41,USD,true,true,0.972267,-0.524203,-0.524203,-0.753243
a3ca4ecc-3e25-4953-884f-27dc2922ded3,EUR,true,true,0.804900,-0.786001,-0.786001,1.156859
891d654d-1513-4cea-8160-1526f50c410f,USD,true,true,0.946591,-2.857657,-2.857657,-1.207151
439abcbb-3a2f-43d3-a417-3303df126354,USD,true,true,0.982496,-1.510132,-1.510132,0.117640
e2b2fc9f-f4ed-48f1-8ca7-ac0961fe8354,USD,true,true,1.014104,-0.791565,-0.791565,-0.791565
c4b157c7-2297-4336-91ba-4ecddd73cc0d,USD,true,true,0.984076,-0.781900,-0.781900,-0.781900
2a56c6e6-ed38-4484-83c1-84ac2373d079,USD,true,true,0.990560,-0.512941,-0.512941,-0.794299
a867537b-13c6-433a-ab54-bebf7976c1e8,USD,true,true,0.986783,-0.799487,-0.799487,-0.799487
e56c19a9-044b-48f1-8b82-7656f7990948,EUR,true,true,1.014307,-0.811879,-0.811879,-0.811879
d1db1cee-a751-4904-b990-0ac526ff5edd,USD,true,true,0.981326,-1.945936,-1.945936,-1.945936
9ada5d2d-e831-4192-b767-95fe4c024c07,EUR,true,true,0.967408,-0.539747,-0.539747,-0.793226
b9f4a6e9-b2aa-4d24-8597-84ed1cba62ba,USD,true,true,0.999430,-0.851260,-0.851260,-0.851260
8f38d4ce-996d-4861-a7bf-214cd75243c3,USD,true,true,0.988437,-0.709998,-0.709998,-0.861069
0e6fcb3d-efce-490e-97e7-1acc1cf08fa6,EUR,true,true,0.994959,-0.859780,-0.859780,-0.859780
37395529-dd21-4608-9545-c5870d7a515c,USD,true,true,0.999236,-0.878275,-0.878275,-0.878275
80c580d2-2e30-4dfe-bf4d-6c00baac35cf,EUR,true,true,0.980733,-0.840509,-0.840509,-0.840509
05a7e75b-38b5-47e4-a8ac-ddb30acf694a,SGD,true,true,1.028979,-0.933393,-0.933393,-0.933393
bba711cb-8380-47c6-b0b7-543e9bfaa8e8,USD,true,true,0.995095,-0.819433,-0.819433,-7.789794
f576d453-4e20-4f5d-87b9-1e27cbbd5d12,USD,true,true,0.910605,-2.767814,-2.767814,-0.641713
2a8f5f90-89f0-43c8-8a80-66172f90621f,USD,true,true,0.996891,-0.916586,-0.916586,-0.916586
5b8dec1e-ed35-423e-b87c-e7ed86c29fbb,USD,true,true,0.972731,-0.669834,-0.669834,-0.894226
53165bac-3c6f-45e0-b19b-9e29368f126c,EUR,true,true,0.962276,-0.628397,-0.628397,-0.874057
5300d3a8-a191-43df-a9fc-885dbe9f8aeb,USD,true,true,0.992734,-0.916363,-0.916363,-0.916363
